id,smiles,KRAS G12D SPR KD  (nM),KRAS G12D binding IC50 (nM),pERK IC50 (nM)
487,C#CC1=CC=CC2=CC(O)=CC(C3=CC=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CC6)CC7)CC5)=NC4=C3F)=C12,,28.6,31.5
488,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC(OC)C5)CC4)=NC3=C1F)=CC(O)=C2,,23.2,13.4
489,C#CC1=CC=CC2=C1C(C1=CC=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CCCC6C5)CC4)=NC3=C1F)=CC(O)=C2,,35.5,34.8
490,C#CC1=CC=CC2=CC(O)=CC(C3=CC=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC(C)(OC)C6)CC5)=NC4=C3F)=C12,,31.6,12.8
491,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCCCO7)C6)CC5)=NC4=C3F)=C12,,3.07,38.9
492,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCOCC67CCC7)CC5)=NC4=C3F)=C12,,2.17,20.2
493,[H]N1C2CCC1CN(C1=NC(OCC3(CN4CC5CC4CO5)CC3)=NC3=C(F)C(C4=C5C(C#C)=CC=CC5=CC(O)=C4)=C(F)C=C13)C2,,2.1,3.07
494,OC1=CC2=C(C=CC=C2)C(C2=C(F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CCCOCC5)CC4)=NC3=C2F)=C1,,4.36,10.9
495,C#CC1=C(F)C=CC2=C1C(C1=C(F)C3=NC(OCC4(CN5CC6CC5CO6)CC4)=NC(N4CC5CC(C4)N5)=C3C=C1C(C)C)=CC(O)=C2,,1.15,
496,C#CC1=C(F)C=CC2=C1C(C1C(F)=C3N=C(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)N=C(N4CC5CCC(C4)N5)C3=CC1C(F)(F)F)=CC(O)=C2,,1.29,
497,C#CC1=C(F)C=CC2=C1C(C1=C(C#N)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5CC6CC5CO6)CC4)=NC3=C1F)=CC(O)=C2,,1.04,
498,C#CC1=C(F)C=CC2=C1C(C1=C(SC(F)(F)F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)=NC3=C1F)=CC(O)=C2,,0.97,
499,CCC1=C(F)C=CC2=C1C(C1=C(C(F)(F)F)C=C3C(N4CC5CCC(C4)N5)=NC(OCC4(CN5C[C@@H]6C[C@H]5CO6)CC4)=NC3=C1F)=CC(O)=C2,,4.64,
500,C#CC1=CC=CC2=C1C(C1=C(F)C3=C(C=C1F)C(N1CC4CCC(C1)N4)=NC(OCC1(CN4CC5(CCCO5)C4)CC1)=N3)=CC(O)=C2,,35.7,
501,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCOC7)C6)CC5)=NC4=C3F)=C12,,26.4,125
502,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCOC7)C6)CC5)=NC4=C3F)=C12,,5.92,23.1
503,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CCC7(CCCO7)C6)CC5)=NC4=C3F)=C12,,2.58,31.4
504,C#CC1=CC=CC2=CC(O)=CC(C3=C(F)C=C4C(N5CC6CCC(C5)N6)=NC(OCC5(CN6CC7(CCCCO7)C6)CC5)=NC4=C3F)=C12,,1.49,38.6
505,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(CC(OC)C9)C8)=NC4=C3F)F)=C12,,3.95,46.4
506,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9C(OCCO9)C8)=NC4=C3F)F)=C12,,1.39,9.39
507,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN(C8C9)C(CC8)CC9=O)=NC4=C3F)F)=C12,,1.26,12.1
508,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC(C=CS9)=C9CC8)=NC4=C3F)F)=C12,,4.26,271
509,C#CC1=CC=CC2=CC(O)=C[C@]([C@]3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9=CN=CN9CC8)=NC4=C3F)F)=C12,,2.59,80.3
510,C#CC1=CC=CC2=CC(O)=C[C@]([C@]3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CCOC9(COC9)C8)=NC4=C3F)F)=C12,,>100,
511,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(CCOCC9)CC8)=NC4=C3F)F)=C12,,1.37,5.39
512,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC9(OCC9)C8)=NC4=C3F)F)=C12,,2.05,7.66
513,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8C9COCC8C9)=NC4=C3F)F)=C12,,6.81,46.3
514,C#CC1=CC=CC2=CC(O)=CC(C3=C(C=C4C(N5CC6CCC(N6)C5)=NC(OCC7(CC7)CN8CC(C=CC=C9)=C9C8)=NC4=C3F)F)=C12,,2.04,
515,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc4cnccc4)c3n2)CCC1,,7,8391
516,CC(C1)NCCN1c1c(ccc(-c2c3c(Cl)cccc3ccc2)c2F)c2nc(OCC2(CCC3)N3CCC2)n1,8,6.1,4545
517,Oc1cc2ccccc2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c1,>1000000,0.5,95
518,Oc1cc(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC3(CCC4)N4CCC3)c2F)c2c(Cl)cccc2c1,,0.7,21
519,Oc1cc(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(CCC3)(C4)N3C[C@@H]4F)c2F)c2c(Cl)cccc2c1,,1.4,42
520,Oc1cccc(F)c1-c(c(Cl)cc(c1n2)c(N3CC(CC4)NC4C3)nc2OC[C@](CCC2)(C3)N2C[C@@H]3F)c1F,,3.5,1800
521,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Cl)c3n2)CCC1,9,11.2,1417
522,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,3,4.3,271
523,CN1[C@H](COc(nc(c2ccc3-c4cc(O)cc5ccccc45)N4CCN(CCCl)CC4)nc2c3F)CCC1,,186.7,6786
524,CN1[C@H](COc2nc3cc(-c4cc(O)cc5ccccc45)ccc3c(N3CC(CC4)NC4C3)n2)CCC1,19,22.9,5662
525,CN1[C@H](COc2nc(N3CC4(CC4)NCC3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,110,,5556
526,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c(c3c4)cccc3ccc4F)c3F)c3n2)CCC1,78,61.9,5556
527,CN1[C@H](COc2nc(N3C(CC4)CNC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,36,30.8,8607
528,CN1[C@H](COc2nc(N3C(CC4)CNC4C3)c(CCN(C3)c4cc(O)cc5ccccc45)c3n2)CCC1,300,152.5,5948
529,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cc(cc4)OC)c4F)c3n2)CCC1,,8.0,5556
530,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(ccc(OC)c4)c4Cl)c3n2)CCC1,,11.5,1371
531,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cccc4)c4Cl)c3n2)CCC1,,1.3,1705
532,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3)Oc(cccc4)c4C#N)c3n2)CCC1,,1.6,2156
533,N#Cc(cccc1)c1Oc(c(-c1cc(O)cc2ccccc12)cc1n2)cc1c(N1CC(CC3)NC3C1)nc2OCC1(CCC2)N2CCC1,,1,1269
534,N#Cc(cccc1)c1Oc(cc1c(N2CC(CC3)NC3C2)nc(OC[C@](CCC2)(C3)N2C[C@@H]3F)nc1c1)c1-c1cc(O)cc2ccccc12,,1.7,140
535,Oc1cc(-c2cc3nc(OCC(CCC4)(C5)N4C[C@@H]5F)nc(N4CC(CC5)NC5C4)c3cc2Oc(cccc2)c2Cl)c2c(Cl)cccc2c1,,6.6,264
536,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(cccc4)c4C#N)c3n2)CCC1,,1.4,377
537,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(c(C#N)ccc4)c4Cl)c3n2)CCC1,,5.3,784
538,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cc(c(-c3cc(O)cc4ccccc34)c3F)Oc(cccc4F)c4C#N)c3n2)CCC1,,7.4,3541
539,N#Cc(cccc1)c1Oc(c(-c1cc(O)cc2ccccc12)c(c1n2)F)cc1c(N1CC(CC3)NC3C1)nc2OCC(CCC1)(C2)N1C[C@@H]2F,,3.6,44
540,Oc1cc2ccccc2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OCC(CCC3)(C4)N3C[C@@H]4F)c2F)c1,,0.6,171
541,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1F,5,1.8,779
542,Cc1cc([nH]nc2)c2c(-c(ccc(c2n3)c(N4CC(CC5)NC5C4)nc3OC[C@H]3N(C)CCC3)c2F)c1C,152,57,5093
543,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(ccc(-c3cc(O)cc4ccccc34)c3F)c3n2)CC1(F)F,121,296.7,8501
544,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3CC(CC4)NC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,2.5,45
545,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3CC(C4)NC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,23,
546,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N(C3)C4C3NCC4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,425,
547,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3C4CNCC3CC4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,12.7,
548,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N3C(CC4)CNC4C3)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,30,
549,Cc(c(C(F)(F)F)c1C(C2)OCc(c(N(C3)CC4NC3C=C4)n3)c2nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)cc(N)c1F,,0.1,
550,Oc1cc2ccccc2c(C(Cc2n3)OCc2c(N2CC(CC4)NC4C2)nc3OC[C@](CCC2)(C3)N2C[C@@H]3F)c1,,78.3,
551,CC(C(c1c(C(F)(F)F)c(C)cc(N)c1F)OC1)c2c1c(N1CC(CC3)NC3C1)nc(OC[C@](CCC1)(C3)N1C[C@@H]3F)n2,,1.1,
552,CC(c(c(N1CC(CC2)NC2C1)n1)c(C2)nc1OC[C@](CCC1)(C3)N1C[C@@H]3F)OC2c1c(C(F)(F)F)c(C)cc(N)c1F,,3.3,
553,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,110.2,48.9,2349
554,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,163.2,266.5,16085
555,CC1=CC=C2NN=CC2=C1N1CCC2=C(C1)N=C(OC[C@@H]1CCCN1C)N=C2N1CC2CCC(C1)N2,6365.7,1315.4,
556,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3C[C@@H](O)C(C2)N3)=N1,1.5,3.7,994
557,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1[C@@H](COC(=O)NC)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.6,142
558,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C[C@H](F)C4)N=C3N1C=C3CCC(C1)N3)=CC(O)=C2,,0.8,12
559,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@]14CCCN1C[C@H](F)C4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1,13
560,CCC1=CC=CC2=C1C(N1CCC3=C(N4CC5CCC(C4)N5)N=C(OC[C@@H]4CCCN4C)N=C3C1)=CC=C2,,5.5,12570
561,*[C@H]1CN2CCC[C@@]2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(CC)=CC=C5)CC3=N2)C1,,3.1,1656
562,CCC1=CC=CC2=C1C(N1CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C1)=CC=C2,,1.1,738
563,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(C4CC4)=CC=C5)CC3=N2)C1,,19.8,>16667
564,ClC1=C(Cl)C2=C(C=CC=C2N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)C=C1,,344.8,
565,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1[C@@H](COC(=O)N(C)C)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.3,261
566,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14C#CCN1CCC4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1.1,21
567,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C=CC=C4Cl)CC2=N1,,7904.6,
568,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C=CC=C4F)CC2=N1,,1762.9,
569,F[C@H]1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC(Cl)=C4C4CC4)C3)C(N3CC4CCC(C3)N4)=N2)C1,,29.5,>16667
570,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@]14CCCN1[C@@H](COC(=O)NC)CC4)N=C3N1C=C3CCC(C1)N3)=CC=C2,,2,70
571,CCC1=C(F)C=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3C=CC(C1)N3)=CC=C2,,1.8,324
572,CCC1=C(F)C=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C[C@H](F)C4)N=C3N1CC3C=CC(C1)N3)=CC=C2,,2.8,539
573,CN/C(=O)=O/C[C@H]1CCC2(CO/C3=N/C4=C(CCN(C5=CC=CC6=C5C(C)=CC=C6)C4)\C(N4CC5CCC(C4)N5)=N/3)CCCN12,,12.3,
574,COC1=NC2=C(CCN(C3=CC=CC4=C3C(C)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,302195.6,7862.6,
575,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C(CF)CC4)N=C3N1CC3CCC(C1)N3)=CC(O)=C2,,1.1,119
576,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=C(Cl)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,37.7,1362.6,>16667
577,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C(O)=C(F)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,846.8,6788.2,
578,CC(OC1=NC2=C(CCN(C3=CC(O)=C(Cl)C4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1)[C@@H]1CCCO1,325.1,,>16667
579,OC1=C(Cl)C2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OC[C@@H]2CCCN2)N=C3N2CC3CCC(C2)N3)=C1,91.3,1601.7,11111
580,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,>1000000,1.2,361
581,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3CCC(C1)N3)=CC=C2,6.3,2.5,4053
582,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1CCC4)N=C3N1CC3CCC(C1)N3)=CN=C2,87.1,16.8,2611
583,OC1=CC2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OCC24CCCN2CCC4)N=C3N2CC3CCC(C2)N3)=C1,0.8,3.8,1611
584,CC(C)C1=CC=CC=C1N1CCC2=C(C1)N=C(OCC13CCCN1C(COC(=O)N(C)C)CC3)N=C2N1CC2CCC(C1)N2,,1170.4,
585,CN(C)C(=O)OC[C@H]1CCC2(COC3=NC4=C(CCN(C5=CC=CC(Cl)=C5C5CC5)C4)C(N4CC5CCC(C4)N5)=N3)CCCN12,,50.2,5556
586,CNC(=O)OC[C@H]1CCC2(COC3=NC4=C(CCN(C5=CC=CC6=C5C(F)=CC=C6)C4)C(N4CC5CCC(C4)N5)=N3)CCCN12,,111.4,3909
587,CN1CCC[C@H]1COC1=NC2=C(CCN(C3CC(O)C4=CC=CC=C43)C2)C(N2CC3CCC(C2)N3)=N1,569626.2,>10000,
588,COC1C=C(N2CCC3=C(C2)N=C(OC[C@@H]2CCCN2C)N=C3N2CC3CCC(C2)N3)C2=CC=CC=C21,24285.7,>10000,
589,*C1CC2CN(C3=NC(OCC4CCCN4C)=NC4=C3CCN(C3=CC(O)=CC5=C3C=CC=C5)C4)CC1N2,12793.7,88.1,3849
590,CN1CCCC1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CC(F)C(C2)N3)=N1,2338.1,73.5,5004
591,CN1CCCC1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(CCN)C(C2)N3)=N1,,2694.4,
592,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C=C=CC4=C3C(O)=CC=C4)C2)C(N2CC3CC(CC#N)C(C2)N3)=N1,957.1,63.9,>16667
593,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CC(O)(C(F)F)C(C2)N3)=N1,,3128.4,
594,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(Cl)=CC=C4)C2)C(N2CC3CCC(CC#N)(C2)N3)=N1,,1799,
595,COC1CC2CN(C3=NC(OCC45CCCN4C[C@H](F)C5)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,57.6,90.1,>16667
596,FC1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC5=C4C(Cl)=CC=C5)C3)C(N3CC4CC(F)C(C3)N4)=N2)C1,43.9,43.5,9030
597,OC1CC2CN(C3=NC(OCC45CCCN4C[C@H](F)C5)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,1.9,2.6,1361
598,F[C@H]1CN2CCCC2(COC2=NC3=C(CCN(C4=CC=CC5=C4C(Cl)=CC=C5)C3)C(N3CC4CCC(C3)N4)=N2)C1,,4.4,4570
599,OC1=CC2=C(C=CC=C2)C(N2CC/C3=C(N4CC5CCC(C4)N5)\N=C(OCC45=N(CCC4)C[C@H](F)C5)\N=C/3C2)=C1,,1,537
600,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC(Cl)=C4C(F)(F)F)CC3=N2)C1,,5.5,5223
601,OC1=CC2=C(C(Cl)=CC=C2)C(N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4C[C@H](F)C5)N=C3C2)=C1,,0.5,77
602,CC1=CC=CC2=C1C(N1CC/C3=C(N4CC5CCC(C4)N5)/N=C(OCC45#N(CCC4)C[C@H](F)C5)\N=C/3C1)=CC=C2,,7.1,>16667
603,F[C@H]1CN2CCCC2(COC2=NC(N3CC4CCC(C3)N4)=C3CCN(C4=CC=CC5=C4C(C(F)(F)F)=CC=C5)CC3=N2)C1,,16.9,>16667
604,CC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,250128.2,361.4,14931
605,CN1CCC[C@H]1COC1=NC2=C(CC(=O)N(CC3=CC=CC=C3)C2)C(N2C=C3CCC(C2)N3)=N1,>1000000,5259,
606,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(O)=CC4=C3C=CC=C4)C2)C(N2CC3CC(O)C(C2)N3)=N1,500733.2,41.1,1133
607,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC(C(F)F)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,89891.1,>10000,>16667
608,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CN=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,98461.5,>10000,
609,CCC1CN(C2=NC(OC[C@@H]3CCCN3C)=NC3=C2CCN(C2=CN=CC4=C2C(Cl)=CC=C4)C3)CCN1,438.1,282.9,>16667
610,NC1=NC2=C(C=CC=C2)C(N2CCC3=C(C2)N=C(OCC2CCCN2)N=C3N2CC3CCC(C2)N3)=N1,597845.6,7500,
611,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=NC(N)=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,,>10000,
612,CN1CCCC1C[2H]/C1=N/C2=C(CCN(C3=CC(O)=CC4=C3C=CCC4)C2)\C(N2CC3CCC(C)(C2)N3)=N/1,175.5,184.3,6876
613,FC1=C(Cl)C2=C(C=CC=C2N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)C=C1,8.1,1,1936
614,FC(F)(F)C1=C(Cl)C=CC=C1N1CCC2=C(N3CC4CCC(C3)N4)N=C(OCC34CCCN3CCC4)N=C2C1,12.3,5.1,6581
615,CC1=C(C(F)(F)F)C(N2CCC3=C(N4CC5CCC(C4)N5)N=C(OCC45CCCN4CCC5)N=C3C2)=CC=C1,67.3,13,>16667
616,CN1CCC[C@H]1COC1=NC(N2CC3CCC(C2)N3)=C2CCN(C3=CC=CC4=C3C(Cl)=C(F)C=C4)CC2=N1,18.2,15.2,>16667
617,CCC1CC=CC2=C1C(N1CCC3=C(C1)N=C(OCC14CCCN1C(COC(=O)N(CC)CC)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,4.6,2209
618,CCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC14CCCN1C(COC(=O)C1=CCS(=O)(=O)CC1)CC4)N=C3N1CC3CCC(C1)N3)=CC=C2,,1.5,150
619,[2H]=COCC1CCC2(CCC3/N=C(/N4CC5CCC(C4)N5)C4=C(CN(C5=CCCC6=C=CC=C(CC)C65)CC4)N3)CCCN12,,5.9,1332
620,CC1=C(O)C=C(N2CCC3=C(C2)N=C(OCC2CCCN2C)N=C3N2CC3CCC(C2)N3)C2=C1C=CC=C2,38443.4,>10000,
621,CCC1CN(C2=NC(OC[C@@H]3CCCN3C)=NC3=C2CCN(C2=CC=CC4=C2C=CC=C4)C3)CCN1,2100,1118.9,
622,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3CCCC4)C2)C(N2CC3CCC(C2)N3)=N1,4217.1,1780,
623,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C=C(F)C=C4)C2)C(N2CC3CCC(C2)N3)=N1,922.5,226.3,>16667
624,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(F)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,3161.7,1101,
625,ClC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1)N=C3N1CC3CCC(C1)N3)=CC=C2Br,41604.3,>10000,
626,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C=CC=C3C(F)(F)F)C2)C(N2CC3CCC(C2)N3)=N1,170483.5,>10000,>16667
627,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(F)C=CC(F)=C3C(F)F)C2)C(N2CC3CCC(C2)N3)=N1,97014.9,,>16667
628,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(O)C=CC=C3F)C2)C(N2CC3CCC(C2)N3)=N1,264294.8,>10000,
629,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=C(O)C=CC4=C3C=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,51441.4,>10000,
630,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCO)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,1863,485.5,
631,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCC#N)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,616.7,,11111
632,CCCCC1=CC=CC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,,710.2,
633,CC1CCCC2=C1C(N1CCC3=C(C1)N=C(OC[C@@H]1CCCN1C)N=C3N1CC3CCC(C1)N3)=CC=C2,149.5,61,
634,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCC#N)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,19926.5,6565.8,
635,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CCCCO)=CC=C4)C2)C(N2CC3CCC(C2)N3)=N1,8709.7,3688.9,
636,CN1CCC[C@H]1COC1=NC2=C(CCN(C3=CC=CC4=C3C(CC#N)CCC4)C2)C(N2CC3CCC(C2)N3)=N1,1509.8,,
637,OC1CC2CN(C3=NC(OCCC(F)(F)F)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,33232.2,2900.3,
638,CC1CC2CN(C3=NC(OC[C@@H]4CCCN4C)=NC4=C3CCN(C3=CC=CC5=C3C(Cl)=CC=C5)C4)CC1N2,704.8,271.4,13438
